sales_item,mapped_items,GramsPerServing,Calories,Protein,Total Carbohydrate,Dietary Fiber,Total Sugars,Added Sugars,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Vitamin D (D2 + D3),Calcium,Iron,Potassium,Vitamin A,Vitamin C,method,n_candidates,sales_volume
HOT TURKEY AND CHEESE SANDWICH ELEMENTARY,Hot Turkey & Cheese + Grilled Cheese Sandwich,247.5,570.0,40.0,72.0,8.0,10.0,0.0,19.0,8.0,0.0,60.0,2120.0,2.0,600.0,4.0,615.0,0.0,0.0,composite_sum,2,13782
GRILLED CHEESE SANDWICH SECONDARY,"Grilled Cheese Sandwich, Grilled Cheese Sandwich, Grilled Cheese Sandwich",118.0,300.0,18.0,38.0,4.0,6.0,0.0,11.0,5.0,0.0,30.0,1160.0,1.0,380.0,2.0,300.0,0.0,0.0,median_over_topK,5,13442
VEGGIE DUMPLINGS SECONDARY,"Asian Veggie Sub, Asian Veggie Sub, Asian Veggie Sub",347.05925354166664,539.0,19.0,84.0,8.0,32.0,24.0,16.0,2.0,0.0,13.0,1757.0,7.0,191.0,4.0,951.0,1961.0,2.0,median_over_topK,5,12532
TURKEY BARBACOA QUESADILLA SECONDARY,"Quesadilla, Turkey Barbacoa and Cheese, Quesadilla, Turkey Barbacoa and Cheese, Quesadilla, Turkey Barbacoa and Cheese",164.7669375,402.0,26.0,32.0,3.0,3.0,1.0,19.0,8.0,0.0,63.0,868.0,,331.0,3.0,122.0,,,median_over_topK,5,12498
BEAN & CHEESE PUPUSA SECONDARY,Black Bean and Corn Salad + Bean and Cheese Pupusa,262.15792,390.0,18.0,55.0,8.0,2.0,0.0,11.0,3.0,0.0,15.0,550.0,0.0,274.0,2.0,419.0,0.0,0.0,composite_sum,2,12395
ALFREDO LASAGNA-SECONDA RY,"Alfredo & Basil Lasagna, Alfredo & Basil Lasagna, Alfredo & Basil Lasagna",199.5074140070922,397.0,26.0,34.0,2.0,9.0,,16.0,9.0,0.0,49.0,719.0,,635.0,1.0,263.0,404.0,6.0,median_over_topK,5,12333
VEGAN BURGER SECONDARY,"BBQ Vegan Burger, Vegan Burger, Vegan Burger",120.786375,270.0,20.0,35.0,10.0,4.0,3.0,7.0,0.0,0.0,0.0,668.0,7.0,180.0,3.0,598.0,,,median_over_topK,5,11092
ASIAN BEEF MEATBALL SUB-SECONDARY,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",328.95925354166667,520.0,19.0,68.0,6.0,31.0,24.0,18.0,5.0,1.0,61.0,1759.0,7.0,174.0,3.0,421.0,1961.0,2.0,median_over_topK,5,10994
NACHOS W/TURKEY BARBACOA&CHEES E SECONDARY,Cheesy Fiesta Nachos + Turkey Barbacoa Arepa + Cheesy Fiesta Nachos,645.3902969999999,1110.0,53.0,121.0,11.0,10.0,0.0,45.0,13.0,0.0,88.0,2325.0,0.0,402.0,5.0,998.0,78.0,6.0,composite_sum,3,10770
CHANA MASALA W/ RICE,"Chana Masala, Chana Masala, Chana Masala",132.83174897655368,80.0,4.0,14.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,140.0,0.0,27.0,1.0,148.0,,,median_over_topK,5,10341
CHICKEN PHILLY SUB-ES,"Chicken Tenders Sub, Chicken Tenders Sub, Chicken Tenders Sub",189.0,366.0,23.0,45.0,8.0,3.0,3.0,12.0,1.0,0.0,60.0,609.0,7.0,120.0,2.0,130.0,55.0,,median_over_topK,5,10274
FISH FILLET SANDWISH-SECON DARY,"Fish Tacos, Fish Tacos, Fish Tacos",162.0582,390.0,18.0,43.0,5.0,2.0,2.0,16.0,4.0,0.0,45.0,480.0,1.0,48.0,3.0,504.0,0.0,,median_over_topK,5,10117
$0.50 Juice,"Apple Juice, Orange Tangerine Juice, Apple Juice",119.918385,60.0,0.0,14.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,10.0,0.0,130.0,0.0,0.0,median_over_topK,5,10113
ALC $1 YOGURT OZ,"Assorted  4 oz Yogurt, Assorted  4 oz Yogurt, Assorted  4 oz Yogurt",0.0,,,,,,,,,,,,,,,,,,median_over_topK,5,9908
VEGAN BURGER ELEMENTARY,"BBQ Vegan Burger, Vegan Burger, Vegan Burger",120.786375,270.0,20.0,35.0,10.0,4.0,3.0,7.0,0.0,0.0,0.0,668.0,7.0,180.0,3.0,598.0,,,median_over_topK,5,9671
MEATBALL SUB SECONDARY,"Asian Meatball Sub, Asian Meatball Sub, Asian Meatball Sub",328.95925354166667,520.0,19.0,68.0,6.0,31.0,24.0,18.0,5.0,1.0,61.0,1759.0,7.0,174.0,3.0,421.0,1961.0,2.0,median_over_topK,5,9471
CHICKEN TIKKA MASALA SECONDARY,"Chicken Tikka Masala, Chicken Tikka Masala, Chicken Tikka Masala",123.320325,101.0,18.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,50.0,449.0,,0.0,0.0,202.0,,,median_over_topK,5,9160
BBQ CHICKEN SANDWICH SECONDARY,"BBQ Chicken Sandwich, BBQ Chicken Sandwich, BBQ Chicken Sandwich",151.3689,331.0,29.0,36.0,4.0,11.0,10.0,2.0,,,71.0,375.0,7.0,122.0,2.0,433.0,,,median_over_topK,5,8579
TACO BEEF AREPAS-ES,"Arepa w/Taco Beef, Taco Beef, Arepa w/Taco Beef",253.44453,253.0,16.0,35.0,6.0,4.0,0.0,6.0,2.0,0.0,34.0,510.0,0.0,73.0,3.0,1021.0,1914.0,10.0,median_over_topK,5,7651
FISH TACO ON TORTILLA-SECONDA RY,"Soft Bean Taco on Flour Tortilla, Soft Bean Taco on Flour Tortilla, Soft Beef Taco on Flour Tortilla",180.4443055,216.0,21.0,10.0,2.0,2.0,1.0,12.0,6.0,0.0,54.0,525.0,,61.0,2.0,835.0,,,median_over_topK,5,7440
CEREAL/ NO MILK,"Cinnamon Chex Cereal, Honey Cheerios Cereal, Cinnamon Toast Crunch Cereal, 25% Less Sugar",56.0,210.0,3.0,44.0,5.0,12.0,12.0,5.0,1.0,0.0,0.0,320.0,2.0,100.0,5.0,94.0,500.0,6.0,median_over_topK,3,7297
NACHOS W/TACO MEAT/CHEESE SAUCE ELEMENTARY,Cheesy Fiesta Nachos + Nachos with Taco Meat and Cheese Sauce,364.22711975000004,844.0,31.0,91.0,7.0,10.0,0.0,38.0,11.0,0.0,27.0,1367.0,0.0,410.0,3.0,1357.0,39.0,3.0,composite_sum,2,6953
CHICKEN DUMPLINGS ELEMENTARY,"Chicken & Vegetable Dumplings, Chicken & Vegetable Dumplings, Chicken & Vegetable Dumplings",136.07760000000002,242.0,17.0,31.0,2.0,3.0,1.0,7.0,1.0,0.0,35.0,554.0,0.0,35.0,3.0,283.0,,,median_over_topK,5,6947
HOT TURKEY AND CHEESE SANDWICH SECONDARY,Hot Turkey & Cheese + Grilled Cheese Sandwich,247.5,570.0,40.0,72.0,8.0,10.0,0.0,19.0,8.0,0.0,60.0,2120.0,2.0,600.0,4.0,615.0,0.0,0.0,composite_sum,2,6535
ASIAN VEGGIE SUB-SECONDARY,"Asian Veggie Sub, Asian Veggie Sub, Asian Veggie Sub",347.05925354166664,539.0,19.0,84.0,8.0,32.0,24.0,16.0,2.0,0.0,13.0,1757.0,7.0,191.0,4.0,951.0,1961.0,2.0,median_over_topK,5,6193
BBQ CHICKEN DRUMSTICK ELEMENTARY,"BBQ Chicken Drumstick, BBQ Chicken Drumstick, BBQ Chicken Drumstick",120.3495,185.0,17.0,10.0,0.0,8.0,7.0,8.0,2.0,0.0,90.0,434.0,0.0,0.0,1.0,463.0,,,median_over_topK,5,6013
PARFAIT POWER PACK SECONDARY,"Peach Parfait, Power Pack, Strawberry Parfait Power Pack, Strawberry Parfait Power Pack",302.260155,493.0,14.0,78.0,5.0,42.0,32.0,16.0,5.0,0.0,42.0,363.0,3.0,568.0,2.0,449.0,,31.0,median_over_topK,5,5947
NACHOS W/ BLACK BEANS AND CHEESE SECONDARY,Nachos with Black Beans and Cheese Sauce + Egg and American Cheese on English Muffin,287.08533,655.0,26.0,78.0,6.0,6.0,0.0,26.0,7.0,0.0,14.0,1192.0,1.0,398.0,2.0,633.0,0.0,0.0,composite_sum,2,5800
PINEAPPLE PARFAIT,"Pineapple Parfait, Pineapple Parfait, Pineapple Parfait",314.87757750000003,284.0,6.0,64.0,4.0,44.0,15.0,2.0,0.0,0.0,3.0,55.0,3.0,315.0,1.0,436.0,90.0,17.0,median_over_topK,5,5303
TURKEY BARBACOA AREPAS W/ CHEESE SECONDARY,"Nachos with Turkey Barbacoa and Cheese Sauce, Nachos with Turkey Barbacoa and Cheese Sauce, Quesadilla, Turkey Barbacoa and Cheese",166.97860125,435.0,19.0,44.0,2.0,4.0,0.0,20.0,6.0,0.0,39.0,855.0,,186.0,1.0,465.0,,,median_over_topK,5,4766
NACHO W/ BLACK BEANS&CHEESE SAUCE ELEMENTARY,Black Beans + Nachos with Turkey Barbacoa and Cheese Sauce,231.97860125,500.0,23.0,56.0,5.0,5.0,0.0,20.0,6.0,0.0,39.0,925.0,0.0,210.0,2.0,465.0,0.0,0.0,composite_sum,2,4238
PARFAIT,"Mandarin Orange Parfait, Mandarin Orange Parfait, Mandarin Orange Parfait",334.01348999999993,250.0,7.0,55.0,3.0,36.0,15.0,2.0,0.0,0.0,3.0,63.0,3.0,308.0,1.0,478.0,1696.0,68.0,median_over_topK,5,4039
FIELD TRIP LUNCH SECONDARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,0.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,0.0,13.0,median_over_topK,5,3378
PARFAIT POWER PACK ELEMENTARY,"Peach Parfait, Power Pack, Strawberry Parfait Power Pack, Strawberry Parfait Power Pack",302.260155,493.0,14.0,78.0,5.0,42.0,32.0,16.0,5.0,0.0,42.0,363.0,3.0,568.0,2.0,449.0,,31.0,median_over_topK,5,3287
TURKEY BARBACOA QUESADILLA ES,"Quesadilla, Turkey Barbacoa and Cheese, Quesadilla, Turkey Barbacoa and Cheese, Quesadilla, Turkey Barbacoa and Cheese",164.7669375,402.0,26.0,32.0,3.0,3.0,1.0,19.0,8.0,0.0,63.0,868.0,,331.0,3.0,122.0,,,median_over_topK,5,3141
VEGGIE DUMPLINGS ELEMENTARY,"Asian Veggie Sub, Asian Veggie Sub, Asian Veggie Sub",347.05925354166664,539.0,19.0,84.0,8.0,32.0,24.0,16.0,2.0,0.0,13.0,1757.0,7.0,191.0,4.0,951.0,1961.0,2.0,median_over_topK,5,3057
NUTRIGRAIN BARS -,"Maple Belgian Waffle, Cucumber Slices, Sub Roll",62.0,150.0,5.0,29.0,3.0,2.0,0.5,2.0,0.0,0.0,0.0,220.0,0.0,30.0,1.0,100.0,119.0,3.0,median_over_topK,5,2888
CHICKEN QUESADILLA ELEMENTARY,"Chicken Quesadilla, Chicken Quesadilla, Chicken Quesadilla",121.3922140625,341.0,24.0,30.0,3.0,3.0,1.0,11.0,4.0,,53.0,441.0,,231.0,2.0,179.0,,,median_over_topK,5,2839
BBQ CHICKEN DRUMSTICK SECONDARY,"BBQ Chicken Drumstick, BBQ Chicken Drumstick, BBQ Chicken Drumstick",120.3495,185.0,17.0,10.0,0.0,8.0,7.0,8.0,2.0,0.0,90.0,434.0,0.0,0.0,1.0,463.0,,,median_over_topK,5,2717
CHICKEN PHILLY SUB-SECONDARY,"Chicken Tenders Sub, Chicken Tenders Sub, Chicken Tenders Sub",189.0,366.0,23.0,45.0,8.0,3.0,3.0,12.0,1.0,0.0,60.0,609.0,7.0,120.0,2.0,130.0,55.0,,median_over_topK,5,2528
IZZE DRINK - $1.50,"IZZE, Strawberry, IZZE, Blackberry, IZZE, Blackberry",238.1358,70.0,0.0,15.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,10.0,,,,,,,median_over_topK,5,2117
WAFFLES BREAKFAST,"Natural Breakfast Syrup, Natural Breakfast Syrup, Natural Breakfast Syrup",28.3495,80.0,0.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,,median_over_topK,5,1877
CHANA MASALA SECONDARY,"Chana Masala, Chana Masala, Chana Masala",132.83174897655368,80.0,4.0,14.0,4.0,2.0,0.0,2.0,0.0,0.0,0.0,140.0,0.0,27.0,1.0,148.0,,,median_over_topK,5,1411
PASTA W/MEAT SAUCE SECONDARY,Pasta with Meat Sauce + Pasta with Meat Sauce,1380.38046,382.0,14.0,82.0,8.0,4.0,0.0,2.0,0.0,0.0,0.0,44.0,0.0,50.0,4.0,380.0,0.0,0.0,composite_sum,2,1085
PRESCHOOL LUNCH,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,1034
SPECIAL DIET MEAL ELEMENTARY,"Diet Coke 24/12oz, Diet Coke 24/12oz, Diet Coke 24/12oz",340.19399999999996,,,,,,,,,,,,,,,,,,median_over_topK,5,954
MGR CHOICE SECONDARY,"Manager's Vegetable Choice, Manager's Vegetable Choice, Manager's Vegetable Choice",0.0,,,,,,,,,,,,,,,,,,median_over_topK,5,847
FASTING BREAKFAST,"Natural Breakfast Syrup, Natural Breakfast Syrup, Natural Breakfast Syrup",28.3495,80.0,0.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,,median_over_topK,5,772
LACTOSE FREE MILK,"Lactose Free, White Milk, Lactose Free, White Milk, Lactose Free, White Milk",226.796,90.0,9.0,13.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,130.0,2.0,312.0,0.0,331.0,155.0,0.0,median_over_topK,5,690
BURKE ALC MEAL,"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub)",56.699,3.0,,,,0.0,,0.0,0.0,0.0,,4.0,,,,,,,median_over_topK,5,594
PREK EVENT STUDENT LUNCH,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,580
FASTING LUNCH-ELEMENTAR Y,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,523
FASTING LUNCH - SECONDARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,506
BBQ BEEF RIB SECONDARY,"Taco Beef, Penne Pasta with Marinara and Beef Meatballs, Penne Pasta with Marinara and Beef Meatballs",489.420343125,397.0,25.0,34.0,5.0,9.0,1.0,18.0,8.0,1.0,63.0,659.0,,301.0,3.0,469.0,2676.0,160.0,median_over_topK,5,435
ALC HARD BOILED EGG,"Egg, Hard Boiled, Bulk pouch, Egg, Hard Boiled, Bulk pouch, Egg, Hard Boiled, Bulk pouch",50.0,78.0,6.0,1.0,0.0,1.0,0.0,5.0,2.0,,187.0,62.0,1.0,25.0,1.0,63.0,260.0,0.0,median_over_topK,5,417
SPECIAL DIET MEAL SECONDARY,"Diet Coke 24/12oz, Diet Coke 24/12oz, Diet Coke 24/12oz",340.19399999999996,,,,,,,,,,,,,,,,,,median_over_topK,5,399
"CHICKEN TENDERS 1,273 SECONDARY","Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,368
"CHICKEN TENDERS 1,121 SECONDARY","Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,321
"CHICKEN TENDERS 1,092 SECONDARY","Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,314
"CHICKEN TENDERS 1,019 SECONDARY","Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,312
PREK FAMILY EVENT STUDENT BREAKFAST,"Natural Breakfast Syrup, Natural Breakfast Syrup, Natural Breakfast Syrup",28.3495,80.0,0.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,,median_over_topK,5,307
"CHICKEN TENDERS 1,043 SECONDARY","Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,288
"CHICKEN TENDERS 1,083 SECONDARY","Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,287
"CHICKEN TENDERS 1,086 SECONDARY","Chicken Tenders, Chicken Tenders, Chicken Tenders",131.825175,226.0,17.0,18.0,4.0,0.0,0.0,10.0,1.0,0.0,60.0,389.0,,10.0,1.0,,55.0,0.0,median_over_topK,5,272
THANKSGIVING LUNCH ELEMENTARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,223
PREK FAMILY EVENT ADULT BREAKFAST CHARGED FROM FSO,"Natural Breakfast Syrup, Natural Breakfast Syrup, Natural Breakfast Syrup",28.3495,80.0,0.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,,median_over_topK,5,156
CENTER LUNCH - PUREED,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,122
PREK FAMILY EVENT ADULT LUNCH,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,108
PREK FAMILY EVENT ALC,"Broccoli Alfredo Penne - ALC, Broccoli Alfredo Penne - ALC, Broccoli Alfredo Penne - ALC",0.0,,,,,,,,,,,,,,,,,,median_over_topK,5,76
THANKSGIVING LUNCH SECONDARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,56
CENTER BREAKFAST PUREED,"Natural Breakfast Syrup, Natural Breakfast Syrup, Natural Breakfast Syrup",28.3495,80.0,0.0,21.0,0.0,21.0,21.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,,,median_over_topK,5,53
No Charge A La Carte Promotion,"Maple Belgian Waffle, Cucumber Slices, Sub Roll",62.0,150.0,5.0,29.0,3.0,2.0,0.5,2.0,0.0,0.0,0.0,220.0,0.0,30.0,1.0,100.0,119.0,3.0,median_over_topK,5,41
KINDERGARTEN PIN USE TRAINING,"DO NOT USE Peppers, red, pre-sliced, DO NOT USE Peppers, red, pre-sliced, DO NOT USE - Peppers, green, pre-sliced",62.3689,12.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,109.0,231.0,50.0,median_over_topK,5,36
THANKSGIVING ADULT LUNCH SECONDARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,9
HAMBURGER SECONDARY,"Hamburger, Hamburger, Hamburger",120.786375,300.0,18.0,28.0,4.0,3.0,3.0,13.0,5.0,0.0,45.0,410.0,7.0,117.0,2.0,130.0,0.0,0.0,median_over_topK,5,7
THANKSGIVING ADULT LUNCH ELEMENTARY,"Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch, Egg and Cheese Burrito - For Lunch",125.786375,322.0,15.0,31.0,3.0,2.0,2.0,15.0,5.0,0.0,21.0,534.0,1.0,138.0,2.0,137.0,,,median_over_topK,5,4
PBJ MEAL SECONDARY,"Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub), Cereal, Cinnamon Toasters, Malt-O-Meal, IW (Sub)",56.699,3.0,,,,0.0,,0.0,0.0,0.0,,4.0,,,,,,,median_over_topK,5,1
ELEMENTARY,"Maple Belgian Waffle, Cucumber Slices, Sub Roll",62.0,150.0,5.0,29.0,3.0,2.0,0.5,2.0,0.0,0.0,0.0,220.0,0.0,30.0,1.0,100.0,119.0,3.0,median_over_topK,5,0
CHEESE STIX -1 ELEMENTARY,"Cheese Sticks, Baked (Warehouse - effective 9/1), Cheese Sticks, Baked (Warehouse - effective 9/1), Cheese Sticks, Baked (Warehouse - effective 9/1)",109.4,300.0,16.0,17.0,2.0,4.0,2.0,12.0,6.0,0.0,30.0,640.0,0.0,360.0,2.0,0.0,0.0,0.0,median_over_topK,5,0
"$1.25 CHIPS 1,011","Doritos Wild White Nacho Flavored Tortilla Chips, RF Kettle Chips Sea Salt & Vinegar Chips, Doritos Wild White Nacho Flavored Tortilla Chips",39.12231,130.0,2.0,20.0,2.0,0.0,0.0,5.0,1.0,0.0,0.0,170.0,0.0,40.0,0.0,50.0,,,median_over_topK,5,0
